"id","icf_master_id"
672,"21988685E"
673,"22010550J"
674,"22013303C"
675,"22018205F"
676,"22032512G"
677,"22057558A"
678,"22057570A"
679,"22058048B"
680,"22058296K"
681,"22079530C"
682,"22117071L"
683,"22174491C"
684,"22182347J"
685,"22195196J"
686,"22211750H"
687,"22226445L"
688,"22254397H"
689,"22302473J"
690,"22308559K"
691,"22312859F"
692,"22317201H"
693,"22341246C"
694,"22343945K"
695,"22345051K"
696,"22358865G"
697,"22386193C"
698,"22435029E"
699,"22440649E"
700,"22454911F"
701,"22472311K"
702,"22495284A"
703,"22501735J"
704,"22513845H"
705,"22515369E"
706,"22541121C"
707,"22569304E"
708,"22577514L"
709,"22580968K"
710,"22600027L"
711,"22608880H"
712,"22613088A"
713,"22656125G"
714,"22689881K"
715,"22709741F"
716,"22722938L"
717,"22762784C"
718,"22769158A"
719,"22800978H"
720,"22810886G"
721,"22857992K"
722,"22860718K"
723,"22885802B"
724,"22925891K"
725,"22926119H"
726,"22933317H"
727,"22966013J"
728,"22978457H"
729,"22998393J"
730,"23025162L"
731,"23039567L"
732,"23052770H"
733,"23080502A"
734,"23126399B"
735,"23146659F"
736,"23188156F"
737,"23218933E"
738,"23220834A"
739,"23226314L"
740,"23227560E"
741,"23232535L"
742,"23288460L"
743,"23339538K"
744,"23353029G"
745,"23371401B"
746,"23380243B"
747,"23383612C"
748,"23434082F"
749,"23448645K"
750,"23459149G"
751,"23490608A"
752,"23564798C"
753,"23585391C"
754,"23619866E"
755,"23621634B"
756,"23645724L"
757,"23648324C"
758,"23656980J"
759,"23669224A"
760,"23671123B"
761,"23681102B"
762,"23697577H"
763,"23699977K"
764,"23721959H"
765,"23742534K"
766,"23744969H"
767,"23755810G"
768,"23821443G"
769,"23822132B"
770,"23822686E"
771,"23881186J"
772,"23912586H"
773,"23927179F"
774,"23942445J"
775,"23988466A"
776,"24010690A"
777,"24016514G"
778,"24025189J"
779,"24031536F"
780,"24067964F"
781,"24117951C"
782,"24150100L"
783,"24151847F"
784,"24178052L"
785,"24179545L"
786,"24195460B"
787,"24243761L"
788,"24253197B"
789,"24255451K"
790,"24310363K"
791,"24344959H"
792,"24347564B"
793,"24353497J"
794,"24369506G"
795,"24390400C"
796,"24424956C"
797,"24456619E"
798,"24463563L"
799,"24467442G"
800,"24488133B"
801,"24513551A"
802,"24536972H"
803,"24599434A"
804,"24614235E"
805,"24624701C"
806,"24629256C"
807,"24633838J"
808,"24648108G"
809,"24665240E"
810,"24669757K"
811,"24669954J"
812,"24674038H"
813,"24676827F"
814,"24682731L"
815,"24700529G"
816,"24713188F"
817,"24729652G"
818,"24772783C"
819,"24779704A"
820,"24800858L"
821,"24818427A"
822,"24837625E"
823,"24883335H"
824,"24890462G"
825,"24902889K"
826,"24939353H"
827,"24942846L"
828,"24960668L"
829,"24974187F"
830,"24993611E"
831,"25020631B"
832,"25022268E"
833,"25030993E"
834,"25048004E"
835,"25110305J"
836,"25118704F"
837,"25123654C"
838,"25130462E"
839,"25143348F"
840,"25146017C"
841,"25209844H"
842,"25254248F"
843,"25277727G"
844,"25285294B"
845,"25313143K"
846,"25327136L"
847,"25335189F"
848,"25352880G"
849,"25372142F"
850,"25378961G"
851,"25474991E"
852,"25524341K"
853,"25537572H"
854,"25542469E"
855,"25546263L"
856,"25613756G"
857,"25627641E"
858,"25632205E"
859,"25668717A"
860,"25725918E"
861,"25730018F"
862,"25743133K"
863,"25745663A"
864,"25770684E"
865,"25785000E"
866,"25847759G"
867,"25857964C"
868,"25897204G"
869,"25899162K"
870,"25908597E"
871,"25919642C"
872,"25940842F"
873,"25955639C"
874,"25961455B"
875,"25976443A"
876,"25978449F"
877,"26003187J"
878,"26006481G"
879,"26024578H"
880,"26032429H"
881,"26032636C"
882,"26045794E"
883,"26050034A"
884,"26050970J"
885,"26112759L"
886,"26121278L"
887,"26182693L"
888,"26198227B"
889,"26207733F"
890,"26208706G"
891,"26241100A"
892,"26251743K"
893,"26257270E"
894,"26258863C"
895,"26260503H"
896,"26263807F"
897,"26276950E"
898,"26294582C"
899,"26320275G"
900,"26323616B"
901,"26351196J"
902,"26351490H"
903,"26354968E"
904,"26355905G"
905,"26361360E"
906,"26397293E"
907,"26398854G"
908,"26400036J"
909,"26407637G"
910,"26413343K"
911,"26417354A"
912,"26475815H"
913,"26497746B"
914,"26502909B"
915,"26524794B"
916,"26566471G"
917,"26576296E"
918,"26724780A"
919,"26751734L"
920,"26754159E"
921,"26780153F"
922,"26788352E"
923,"26788597F"
924,"26795977F"
925,"26808531J"
926,"26815302L"
927,"26848939G"
928,"26854126C"
929,"26860435K"
930,"26868311J"
931,"26917771H"
932,"26930709F"
933,"26996760L"
934,"27000674A"
935,"27007416J"
936,"27024366K"
937,"27040749B"
938,"27073862E"
939,"27076961K"
940,"27102327C"
941,"27109758E"
942,"27151211A"
943,"27153635K"
944,"27164066K"
945,"27191452J"
946,"27224668L"
947,"27231781L"
948,"27246115A"
949,"27263913B"
950,"27265471K"
951,"27265762B"
952,"27289744L"
953,"27316009F"
954,"27318986K"
955,"27320208K"
956,"27334140C"
957,"27346033K"
958,"27382911G"
959,"27437314L"
960,"27454403E"
961,"27462943J"
962,"27466706C"
963,"27483068C"
964,"27502133G"
965,"27509033J"
966,"27542536K"
967,"27559911E"
968,"27583362A"
969,"27603250B"
970,"27611318J"
971,"27614002F"
972,"27679333C"
973,"27700373E"
974,"27701123E"
975,"27709662J"
976,"27712448L"
977,"27729343E"
978,"27737445L"
979,"27751165C"
980,"27762623E"
981,"27776175K"
982,"27777949F"
983,"27787201H"
984,"27796510B"
985,"27799739L"
986,"27812530H"
987,"27825575G"
988,"27840641A"
989,"27864465F"
990,"27870282H"
991,"27881415F"
992,"27884416H"
993,"27892073F"
994,"27909713C"
995,"27913172H"
996,"27937319L"
997,"27951937J"
998,"27965423C"
999,"27992451L"
1000,"28049832C"
1001,"28077631H"
1002,"28088634G"
1003,"28097955E"
1004,"28123980J"
1005,"28140837L"
1006,"28145791L"
1007,"28149752H"
1008,"28153463K"
1009,"28163578H"
1010,"28204979G"
1011,"28220737G"
1012,"28236335K"
1013,"28293773L"
1014,"28327881B"
1015,"28342302C"
1016,"28384555K"
1017,"28411564E"
1018,"28414364F"
1019,"28454631L"
1020,"28482389H"
1021,"28495830G"
1022,"28523290J"
1023,"28531106F"
1024,"28531220L"
1025,"28546805H"
1026,"28552268K"
1027,"28572963A"
1028,"28596981F"
1029,"28597593F"
1030,"28603113H"
1031,"28606281J"
1032,"28624678G"
1033,"28633005J"
1034,"28641977F"
1035,"28653606K"
1036,"28663715K"
1037,"28667232A"
1038,"28670036A"
1039,"28697445G"
1040,"28700852F"
1041,"28738791G"
1042,"28749418E"
1043,"28763102J"
1044,"28771036C"
1045,"28798337J"
1046,"28803119C"
1047,"28807027H"
1048,"28808500L"
1049,"28839970K"
1050,"28841495G"
1051,"28884275A"
1052,"28926410F"
1053,"28933065H"
1054,"28940441F"
1055,"28992393J"
1056,"29013030K"
1057,"29019209A"
1058,"29024922K"
1059,"29028861H"
1060,"29029004F"
1061,"29059190G"
1062,"29082225A"
1063,"29105345G"
1064,"29113571E"
1065,"29122131E"
1066,"29125410C"
1067,"29129890H"
1068,"29134070C"
1069,"29160061J"
1070,"29167543G"
1071,"29172681K"
1072,"29174018C"
1073,"29183465K"
1074,"29184444F"
1075,"29203750H"
1076,"29210310A"
1077,"29228667F"
1078,"29250353G"
1079,"29262019B"
1080,"29274078E"
1081,"29277379C"
1082,"29281990C"
1083,"29303194B"
1084,"29324204F"
1085,"29334040L"
1086,"29348420A"
1087,"29353907F"
1088,"29354259G"
1089,"29372129E"
1090,"29377042C"
1091,"29391552A"
1092,"29397252B"
1093,"29403675F"
1094,"29418267L"
1095,"29434941C"
1096,"29467716K"
1097,"29491923J"
1098,"29542542L"
1099,"29543852H"
1100,"29579679C"
1101,"29581224L"
1102,"29602026E"
1103,"29649383C"
1104,"29667446A"
1105,"29676600H"
1106,"29679603F"
1107,"29686945E"
1108,"29694001E"
1109,"29735667J"
1110,"29794557A"
1111,"29807388B"
1112,"29830614J"
1113,"29849599E"
1114,"29857175C"
1115,"29866275G"
1116,"29875398B"
1117,"29902920E"
1118,"29905349L"
1119,"29908130H"
1120,"29924437H"
1121,"29927975C"
1122,"29931969H"
1123,"29932300H"
1124,"29999542B"
1125,"30004368H"
1126,"30023067J"
1127,"30034519E"
1128,"30042194L"
1129,"30057068E"
1130,"30060995C"
1131,"30069642K"
1132,"30090693A"
1133,"30117321C"
1134,"30117834E"
1135,"30165369E"
1136,"30171644H"
1137,"30213950B"
1138,"30245319E"
1139,"30256500J"
1140,"30269174K"
1141,"30272271F"
1142,"30275887C"
1143,"30280857E"
1144,"30284641C"
1145,"30285472B"
1146,"30349038K"
1147,"30407379B"
1148,"30412420A"
1149,"30431389B"
1150,"30451171H"
1151,"30490127F"
1152,"30495828G"
1153,"30508725C"
1154,"30516810A"
1155,"30533102B"
1156,"30548762L"
1157,"30561688G"
1158,"30563466E"
1159,"30570131K"
1160,"30573634B"
1161,"30618954F"
1162,"30633775C"
1163,"30638466H"
1164,"30672821L"
1165,"30686601H"
1166,"30695142H"
1167,"30742882C"
1168,"30770543G"
1169,"30833794B"
1170,"30851187J"
1171,"30911135J"
1172,"30934466B"
1173,"30937727C"
1174,"30948592K"
1175,"30965629F"
1176,"30972694H"
1177,"30981509E"
1178,"30988017A"
1179,"30996273L"
1180,"30998119C"
1181,"31015268A"
1182,"31059092G"
1183,"31059225E"
1184,"31086257C"
1185,"31106638A"
1186,"31117318L"
1187,"31121368E"
1188,"31127159L"
1189,"31158670G"
1190,"31159548C"
1191,"31176566G"
1192,"31215785K"
1193,"31216908C"
1194,"31238613J"
1195,"31265541G"
1196,"31273181K"
1197,"31294002E"
1198,"31307284K"
1199,"31321126L"
1200,"31322623K"
1201,"31345068A"
1202,"31350914H"
1203,"31386585B"
1204,"31400965K"
1205,"31412597C"
1206,"31454432A"
1207,"31463035J"
1208,"31505135L"
1209,"31533044L"
1210,"31541129A"
1211,"31584259J"
1212,"31594963H"
1213,"31616904H"
1214,"31623928A"
1215,"31632258C"
1216,"31633622C"
1217,"31661668E"
1218,"31684191B"
1219,"31728706H"
1220,"31740974J"
1221,"31808106J"
1222,"31830524K"
1223,"31839238J"
1224,"31841477E"
1225,"31848781A"
1226,"31874994E"
1227,"31897144L"
1228,"31903157L"
1229,"31926895J"
1230,"31928724C"
1231,"31934245L"
1232,"31942278A"
1233,"31971819E"
1234,"31996327K"
1235,"32026519K"
1236,"32034862A"
1237,"32050847E"
1238,"32059306F"
1239,"32130617L"
1240,"32136192E"
1241,"32178888B"
1242,"32190378L"
1243,"32231608J"
1244,"32254653A"
1245,"32267192H"
1246,"32267761H"
1247,"32274068C"
1248,"32293732J"
1249,"32300538F"
1250,"32326859A"
1251,"32328509F"
1252,"32329795H"
1253,"32347025C"
1254,"32360694G"
1255,"32393407E"
1256,"32417125L"
1257,"32449911L"
1258,"32450145A"
1259,"32472104L"
1260,"32479170J"
1261,"32526541A"
1262,"32527312J"
1263,"32549061C"
1264,"32551955B"
1265,"32572334J"
1266,"32577726J"
1267,"32648979A"
1268,"32660995C"
1269,"32669279F"
1270,"32674229B"
1271,"32675866J"
1272,"32716243A"
1273,"32774447H"
1274,"32787590G"
1275,"32797304E"
1276,"32822833B"
1277,"32824186K"
1278,"32831247A"
1279,"32833911A"
1280,"32837625F"
1281,"32859558G"
1282,"32913697C"
1283,"32966184G"
1284,"32972667A"
1285,"33013450J"
1286,"33025592E"
1287,"33031216J"
1288,"33032935F"
1289,"33064053K"
1290,"33070830C"
1291,"33109343A"
1292,"33128986C"
1293,"33170027E"
1294,"33173021F"
1295,"33179591H"
1296,"33210731C"
1297,"33239001L"
1298,"33263924H"
1299,"33266451C"
1300,"33292382H"
1301,"33298021C"
1302,"33310364G"
1303,"33356774F"
1304,"33361944E"
1305,"33366694H"
1306,"33375836C"
1307,"33468312C"
1308,"33484775B"
1309,"33486424C"
1310,"33541636L"
1311,"33558234G"
